Data Source, "World Development Indicators" ,

Last Updated Date,"2017-12-18",

Country Name,"Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
Ecuador,"ECU","GDP (current US$)","NY.GDP.MKTP.CD","1010325138.03016","979108806.848646","958598195.033967","1038389642.31418","1156150890.06133","2387048255.45173","2429309513.80854","2553596091.82258","2582180794.1855","3112166848.3004","2862504169.99893","2754220263.02528","3185987234.84089","3891755551.94138","6599259420.99605","7731677256.80982","9091924304.83477","11026346589.5011","11922502170.6405","14175166007.5774","17881514682.8784","21810767209.3695","19929853574.6095","17152483214.3536","16912515183.2783","17149094589.9827","15314143988.0621","13945431882.2271","13051886552.3377","13890828707.6493","15239278100.3502","16988535267.6338","18094238119.0595","18938717358.6793","22708673336.6683","24432884442.2211","25226393196.5983","28162053026.5133","27981896948.4742","19645272636.3182","18327764882.4412","24468324000","28548945000","32432859000","36591661000","41507085000","46802044000","51007777000","61762635000","62519686000","69555367000","79276664000","87924544000","95129659000","101726331000","99290381000","98613972000","",
United Kingdom,"GBR","GDP (current US$)","NY.GDP.MKTP.CD","72328047042.1588","76694360635.9159","80601939635.2483","85443766670.4279","93387598813.9269","100595782309.165","107090721447.057","111185383409.521","104702736248.084","112676874821.987","130671946244.3","148113896325.14","169965034965.035","192537971582.558","206131369798.971","241756637168.142","232614555256.065","263066457352.172","335883029721.956","438994070309.191","564947710899.373","540765675241.158","515048916841.37","489618008185.539","461487097632.349","489285164271.047","601452653180.885","745162608269.325","910122732123.799","926884816753.927","1093169389204.55","1142797178130.51","1179659529659.53","1061388722255.55","1140489745944.29","1335218557677.13","1408781591263.65","1552483628028.81","1638511096389.53","1665623685487.79","1647951278559.54","1621510004318.41","1768408273381.29","2038395102040.82","2398555474185.28","2520701818181.82","2692612695492.18","3074359743897.56","2890564338235.29","2382825985355.97","2441173394729.62","2619700404733.37","2662085168498.93","2739818680930.19","3022827781881.39","2885570309160.86","2647898654635.24","",
India,"IND","GDP (current US$)","NY.GDP.MKTP.CD","36535925029.925","38709096075.0961","41599070245.0702","47776000903.0009","55726873075.8731","58760424674.5065","45253641300","49466168893.3333","52377324280","57668330026.6667","61589800520","66452561868.4154","70509913046.8528","84374541625.3338","98198276856.9136","97159222028.3357","101346972433.237","119866746569.343","135468782810.558","150950826964.984","183839864648.794","190909548793.872","198037712680.328","215350771423.861","209328156804.186","229410293755.209","245664654064.834","275311425330.609","292632656261.441","292093308316.929","316697337894.532","266502281092.721","284363884079.92","275570363432.31","322909902308.131","355475984176.175","387656017799.599","410320300471.227","415730874172.06","452699998386.955","462146799336.77","478965491061.694","508068952065.959","599592902016.212","699688852930.441","808901077222.092","920316529729.61","1201111768409.39","1186952757635.85","1323940295874.9","1656617073124.21","1823049927771.46","1827637859135.7","1856722121394.53","2035393459979.46","2089865410867.82","2263792499341.01","",
Iran, Islamic Rep.,"IRN","GDP (current US$)","NY.GDP.MKTP.CD","4199134389.43894","4426949094.38944","4693566415.84158","4928628018.48185","5379845647.52475","6197319928.71287","6789938671.9472","7555383689.76898","8623172959.73597","9743089607.92079","10976245153.7954","13731801564.3564","17153463263.3663","27081698249.1798","46209092072.4584","51776222349.8518","68055295080.4565","80600122702.2202","77994316621.497","90391877325.2927","94362275579.4621","100499312749.447","125948756439.161","156365156618.288","162276728619.617","180183629600.037","209094561834.095","134009995922.987","123057861333.933","120496362916.372","124813263926.374","","","63743623232.012","71841461172.5964","96419225743.6737","120403931885.441","113919163421.155","110276913362.508","113848450088.351","109591707802.216","126878750295.944","128626917503.72","153544751395.43","190043433964.841","226452138291.542","266298911661.144","349881601458.56","406070949553.875","414059094949.063","487069570463.768","583500357530.417","598853401276.104","467414852231.298","434474616831.914","385874474398.59","418976679728.567","",
Iraq,"IRQ","GDP (current US$)","NY.GDP.MKTP.CD","1684121534.58415","1831700364.04369","1954634836.18034","1978437692.5231","2340521142.5371","","","","2896947633.71605","3008120974.51694","3281713805.65668","3865346534.65347","4113848002.40312","5134367778.1446","11516762614.2906","13458516762.6143","17754825601.0836","19838130714.5276","23762275651.8794","37816457839.4853","53405689129.6986","38424991534.0332","42595309882.7471","40595046638.7906","46802508845.2879","48284979092.9559","47127693792.2161","56609842393.0524","62503055644.9019","65641363782.5668","179885815374.719","","","","","","","","","","","","","","36627901762.063","49954890353.2609","65140293687.5395","88840050497.0957","131613661510.475","111660855042.735","138516722649.573","185749664444.444","218000986222.639","234648370497.427","234648370497.427","179640210726.448","171489001692.047","",
Kazakhstan,"KAZ","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26932728898.8146","24881135586.399","24906939560.1098","23409027475.6879","21250839258.0901","20374307047.115","21035357832.8019","22165932062.966","22135245413.2312","16870817134.7767","18291990619.137","22152694161.8882","24636593223.3467","30833699702.7594","43151647002.6096","57123671733.8953","81003884545.4098","104849886825.584","133441612246.798","115308661142.927","148047348240.643","192626507971.584","207998568865.789","236634552078.102","221415572819.5","184388432148.715","137278320084.171","",
Kuwait,"KWT","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","2097451694.2033","2391486978.43741","2441893027.16326","2663119574.34892","2769532343.88127","2873984878.18538","3880370401.57259","4451200972.9401","5408293998.65138","13004774556.6166","12024138275.8621","13131668946.6484","14135729588.2763","15500908760.4507","24746019536.903","28638550499.4451","25056672166.4275","21577977770.059","20869434305.3173","21697297872.3404","21442619680.8511","17903681693.0489","22365734481.5213","20692472759.8566","24312117767.1886","18427777777.7778","11008793176.2223","19858555214.7239","23941391390.7285","24848483838.3838","27191689008.0429","31493987641.9506","30354434553.2476","25941929461.9423","30121879434.954","37711864406.7797","34890772742.0933","38137545245.1464","47875838926.1745","59440108585.0017","80797945205.4795","101550654720.882","114641097818.438","147395833333.333","105899930507.297","115419050942.08","154027536231.884","174070025008.932","174161495063.47","162631763879.129","114567298105.683","110875579086.698","",
Libya,"LBY","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28901836158.1921","31995012468.8279","33881392045.4545","30657030223.3903","28607921928.8175","25544128198.9955","27884615384.6154","30698633109.1343","27249786142.0017","35976714100.9056","38270206950.41","34110064452.1567","20481889763.7795","26265625000","33122307692.3077","47334148578.4164","54961936662.6066","67516236337.7158","87140405361.2292","63028320702.0343","74773444900.5368","34699395523.6073","","","","","","",
Mexico,"MEX","GDP (current US$)","NY.GDP.MKTP.CD","13056168000","14153952000","15221056000","16936336000","20070136000","21829712000","24337232000","26556376000","29363632000","32515752000","35541712000","39200880000","45178120000","55271304000","71976544000","88003984000","89023915584.4156","81825783185.8407","102517451754.386","134540324561.404","194356826086.957","250083020408.163","173720851063.83","148866910907.577","175632157330.155","184473106267.03","129440194508.009","140263679436.947","183144268180.018","222977035953.687","262709776007.964","314453890803.074","363609256195.677","503962832199.255","527318753518.414","343792792161.261","397404140458.457","480554644187.662","502010250656.743","579459682649.262","683647965226.955","724703603502.349","741559509631.317","713284231624.803","770267585947.191","866345821213.261","965281191371.844","1043471321169.09","1101275278668.79","894948748436.748","1051128603513.77","1171187519660.64","1186598324461.82","1261981728468.52","1298461494903.14","1152263780657.86","1046922702460.87","",
Malaysia,"MYS","GDP (current US$)","NY.GDP.MKTP.CD","1916241996.60264","1901868548.28172","2001502678.6881","2510126747.68065","2674441395.53116","2956356984.18921","3143538481.64119","3188945511.56409","3330393309.81315","3664575983.27453","3864170913.36731","4244340333.51899","5043268548.73032","7662996766.66803","9496074114.07918","9298800799.46702","11050125904.9418","13139397879.1695","16358376511.2263","21213672089.1976","24488033442.0506","25004557093.8761","26804401815.5348","30346788437.5135","33943505717.6993","31200161095.4491","27734562640.4277","32181695507.2234","35271880250.4964","38848567631.4235","44024178343.0071","49142784405.0044","59167157497.9385","66894448545.1226","74477975918.3051","88704944178.6284","100854996422.609","100005323301.867","72167753770.8928","79148947368.4211","93789736842.1053","92783947368.4211","100845263157.895","110202368421.053","124749736842.105","143534102611.497","162690965596.205","193547824063.3","230813597937.526","202257586267.556","255016609232.871","297951960784.314","314443149443.149","323277158906.979","338061963396.376","296434003328.639","296535930381.12","",
Nigeria,"NGA","GDP (current US$)","NY.GDP.MKTP.CD","4196092258.15484","4467200335.99328","4909302953.94092","5165489010.2198","5552822483.55033","5874422511.54977","6366792664.14672","5203135937.28125","5200895982.08036","6634187316.25367","12545849083.0183","9181769911.50443","12274416017.7976","15162871287.1287","24846641318.1242","27778934624.6973","36308883248.731","36035407725.3219","36527862208.7133","47259911894.2731","64201788122.6054","61076493506.4935","51397461685.8238","35451565749.2355","28500815241.471","28873977228.1115","20721499308.4371","24093203444.564","23272161396.8853","24231168858.7187","30757075595.3681","27392886872.5547","29300903643.0584","15789003752.7594","18086400535.5777","28546958641.2735","34987951375","35822342617.6978","32004613750","35870792987.9432","46386011231.37","44137994251.618","59116847821.5797","67655813930.0926","87845420504.485","112248353104.911","145429764861.249","166451213395.64","208064753766.47","169481317540.364","369062464570.387","411743801711.642","460953836444.364","514966287206.505","568498937588.035","481066152889.094","404652720164.859","",
Norway,"NOR","GDP (current US$)","NY.GDP.MKTP.CD","5163271598.15702","5632460936.54576","6066976682.67364","6510239502.76489","7159202706.48027","8058681060.159","8696460205.3397","9514496703.39762","10159934136.7838","11063065083.4888","12814123115.2613","14583114840.0629","17358610849.701","22534253702.8686","27145693810.1341","32877805200.023","35942270686.3374","41508030431.1074","46523091009.6713","53132244623.9213","64439382896.0156","63596654760.8677","62647195537.6511","61627240831.0948","62057955032.7758","65416879914.3907","78693253275.995","94230055658.6271","101900260856.222","102633789557.535","119791683307.507","121872464483.487","130838040067.584","120579072750.596","127131461119.927","152027402449.804","163517783497.163","161354369892.838","154165219811.533","162286003692.686","171315639982.731","174003247439.305","195418347152.985","228752436371.854","264357494659.388","308722079937.912","345424664369.357","401082621082.621","462554432624.114","386622457579.95","429130952709.224","498831558925.86","510229136226.902","523502127659.574","499338534779.159","386663139402.707","371076190476.19","",
Oman,"OMN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","63287594.5113414","67768132.1758611","107152720.243027","188864890.808735","239980801.535877","256299496.040317","301010587.102984","366857738.40542","483033932.135729","1645917776.49103","2096699189.34569","2560220034.74233","2741169947.88651","2740301389.69311","3733352634.62652","5981760277.93862","7259120150.55009","7554719455.70353","7932541690.79328","8821366531.55762","10005500579.0388","7323822251.3089","7811183094.92848","8386215864.75943","9372171651.49545","11685045513.6541","11341482444.7334","12452275682.7048","12493107932.3797","12918855656.697","13802600780.2341","15277763328.9987","15837451235.3706","14085373211.9636","15710148244.4733","19507412223.6671","19452015604.6814","20142782834.8505","21633810143.0429","24763589076.723","31081924577.3732","37215864759.4278","42085305591.6775","60905331599.4798","48388296488.9467","58641621846.554","67937307412.2237","76689583355.0065","78938585175.5527","81034395058.5175","69831770871.2614","66293368010.4031","",
Qatar,"QAT","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","301791301.791302","387700084.245998","510259940.720474","793884368.040437","2401403227.44085","2512784033.37828","3284301332.18953","3617580171.76055","4052000412.70087","5633000318.02401","7829094613.07082","8661263763.73626","7596703214.28571","6467582307.69231","6704395824.17583","6153296456.04396","5053021950.54945","5446428681.31868","6038187032.96703","6487912087.91209","7360439423.07692","6883516483.51648","7646153983.51648","7156593653.84615","7374450769.23077","8137911978.02198","9059340384.61539","11297802115.3846","10255495027.4725","12393131868.1319","17759890109.8901","17538461538.4615","19363736263.7363","23533791208.7912","31734065934.0659","44530494505.4945","60882142857.1428","79712087912.0879","115270054945.055","97798351648.3516","125122306346.154","167775274725.275","186833516483.516","198727747252.747","206224725274.725","164641483516.484","152451923076.923","",
Russian Federation,"RUS","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506500154001.466","516814258695.568","517962962962.963","460290556900.726","435083713850.837","395077301248.464","395531066563.296","391719993756.828","404926534140.017","270953116950.026","195905767668.562","259708496267.33","306602673980.117","345110438692.185","430347770731.787","591016690742.798","764017107992.391","989930542278.695","1299705247685.76","1660844408499.61","1222643696991.85","1524916112078.87","2051661732059.78","2210256976945.38","2297128039058.21","2063662665171.89","1365864126832.81","1283162985989.3","",
Saudi Arabia,"SAU","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","4187777711.11111","4485777644.44444","5377333333.33333","7184853347.5974","9664157498.5524","14947391140.1284","45412957746.4789","46773368205.5947","64005665722.3796","74188249978.724","80265619484.6452","111859676267.555","164541738058.737","184291796008.869","153239017560.236","129171635311.143","119624858115.778","103897846493.65","86961922765.3254","85695861148.1976","88256074766.3551","95344459279.0387","117630271802.403","132223268491.322","137087876662.216","132967901415.22","135174886488.652","143343036341.789","158662398744.993","165963557409.88","146775498080","161716960000","189514926213.333","184137469733.333","189605920240","215807655253.333","258742133333.333","328459608764.111","376900133511.348","415964509673.115","519796800000","429097866666.667","528207200000","671238840106.667","735974843360","746647127413.333","756350347333.334","651757333333.333","646438380560","",
United States,"USA","GDP (current US$)","NY.GDP.MKTP.CD","543300000000","563300000000","605100000000","638600000000","685800000000","743700000000","815000000000","861700000000","942500000000","1019900000000","1075884000000","1167770000000","1282449000000","1428549000000","1548825000000","1688923000000","1877587000000","2085951000000","2356571000000","2632143000000","2862505000000","3210956000000","3344991000000","3638137000000","4040693000000","4346734000000","4590155000000","4870217000000","5252629000000","5657693000000","5979589000000","6174043000000","6539299000000","6878718000000","7308755000000","7664060000000","8100201000000","8608515000000","9089168000000","9660624000000","10284779000000","10621824000000","10977514000000","11510670000000","12274928000000","13093726000000","13855888000000","14477635000000","14718582000000","14418739000000","14964372000000","15517926000000","16155255000000","16691517000000","17393103000000","18120714000000","18624475000000","",
Venezuela, RB,"VEN","GDP (current US$)","NY.GDP.MKTP.CD","8736939393.93939","9058121212.12121","10022000000","10823878787.8788","9111000000","9496244444.44444","9984400000","10356422222.2222","11343444444.4444","11795044444.4444","12848755555.5556","14625295454.5455","15922863636.3636","19466279069.7674","28985627906.9767","31303581395.3488","36187023255.814","42263209302.3256","46426511627.907","55653325581.3953","67018023255.814","75367139534.8837","76559883720.9302","78540255813.9535","56091900000","57935746666.6667","58793864197.5309","45343793103.4483","58428406896.5517","42119835734.8703","47028010660.9808","51749026408.4507","58450099415.2047","58124193832.5991","56531046464.6465","74906532239.819","68263823148.8138","85843534588.6206","91331203433.1629","97976886247.3172","117140723529.412","122903960204.505","92893587733.6549","83620628582.1082","112453382329.615","145510008134.75","183477522123.894","230364012575.687","315953388510.678","329787628928.472","393190682070.491","316482190800.364","381286237847.667","371006299120.244","482359318767.703","","","",
